geography,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2024_scaling_fact,2026_scaling_fact,2030_scaling_fact,2024_scaled_BTN_places,2026_scaled_BTN_places,2030_scaled_BTN_places,2024_realistic_apps
E01016977,18.95067346,17.84668731,17.69644067,19.04212793,17.85975223,18.38888169,18.19944028,17.45473957,16.62511684,16.81455825,16.85375302,0.006532462,0.006532462,0.006532462,16.72310378,15.74323441,14.46940424,14.7421300539945
E01016916,12.73378128,11.991965,11.89100776,12.79523352,12.00074389,12.35628897,12.22899506,11.72859827,11.1711387,11.29843262,11.32476929,0.004389445,0.004389445,0.004389445,11.23698038,10.57856356,9.722621698,9.90587802093664
E01016973,17.92516215,16.88091795,16.73880188,18.01166758,16.89327587,17.39377161,17.21458178,16.51018037,15.72545249,15.90464232,15.94171608,0.00617896,0.00617896,0.00617896,15.81813688,14.89129292,13.68639578,13.9443630898072
E01016957,12.95961786,12.20464529,12.10189754,13.02215996,12.21357988,12.57543063,12.44587913,11.93660769,11.36926144,11.49881295,11.52561671,0.004467293,0.004467293,0.004467293,11.43627084,10.76617685,9.895054655,10.0815610710744
E01016920,23.30607277,21.94835946,21.76358191,23.41854606,21.96442707,22.6151654,22.38218501,21.46633107,20.44603764,20.67901803,20.72722087,0.008033807,0.008033807,0.008033807,20.56654474,19.36147376,17.79488148,18.1302873741047
E01016944,9.329461738,8.785966724,8.711999947,9.374484993,8.792398618,9.052890311,8.959627853,8.593009915,8.184584668,8.277847126,8.297142807,0.003215947,0.003215947,0.003215947,8.23282387,7.750431847,7.123322216,7.25758578071626
E01016947,17.3382113,16.32816038,16.19069783,17.42188416,16.34011365,16.82422089,16.65089855,15.96956243,15.21053008,15.38385243,15.41971222,0.005976633,0.005976633,0.005976633,15.30017957,14.40368467,13.23824131,13.4877616044077
E01016886,20.9472259,19.72692905,19.56085314,21.04831558,19.74137043,20.32624644,20.11684639,19.29368756,18.37665975,18.5860598,18.62938395,0.007220691,0.007220691,0.007220691,18.48497012,17.4018664,15.99383157,16.2952904639118
E01016992,24.91324954,23.46190891,23.26438918,25.03347894,23.47908454,24.1746975,23.92565089,22.94664005,21.85598762,22.10503424,22.15656112,0.008587814,0.008587814,0.008587814,21.98480484,20.69663268,19.02200887,19.3805442115702
E01016904,16.64306401,15.67350944,15.54155822,16.72338214,15.68498346,16.14968121,15.98330794,15.32928888,14.6006887,14.76706197,14.80148402,0.005737009,0.005737009,0.005737009,14.68674384,13.82619244,12.70747562,12.946991814876
E01016986,16.34257777,15.39052825,15.26095938,16.42144578,15.40179511,15.85810287,15.69473342,15.05252251,14.33707701,14.50044646,14.53424703,0.005633429,0.005633429,0.005633429,14.42157845,13.57656409,12.47804542,12.7132372011019
E01016936,20.3442008,19.15903364,18.9977387,20.44238033,19.17305929,19.74109799,19.53772611,18.73826423,17.84763566,18.05100754,18.09308448,0.007012823,0.007012823,0.007012823,17.95282801,16.90090449,15.53340392,15.8261844716253
E01016892,20.29641427,19.11403095,18.95311487,20.39436318,19.12802365,19.69472808,19.4918339,18.69424989,17.80571331,18.00860749,18.05058559,0.006996351,0.006996351,0.006996351,17.91065857,16.86120592,15.49691748,15.7890103096419
E01016978,17.29365753,16.28620213,16.14909281,17.37711537,16.29812468,16.78098792,16.60811095,15.92852565,15.17144378,15.34432074,15.38008839,0.005961275,0.005961275,0.005961275,15.2608629,14.36667171,13.20422317,13.4531022809917
E01016901,38.62637198,36.37616279,36.0699213,38.81277985,36.40279249,37.48129512,37.09516455,35.57727196,33.88628635,34.27241692,34.352306,0.013314847,0.013314847,0.013314847,34.08600906,32.08878197,29.49238674,30.0482724495868
E01016927,19.28675909,18.16319402,18.01028279,19.37983549,18.17649065,18.71500408,18.52220298,17.76429517,16.91995929,17.1127604,17.15265028,0.006648314,0.006648314,0.006648314,17.019684,16.02243689,14.72601565,15.0035781818182
E01016945,4.663005429,4.391358439,4.35438873,4.68550873,4.394573196,4.524770866,4.478156885,4.294915721,4.090778634,4.137392614,4.147036886,0.001607379,0.001607379,0.001607379,4.114889313,3.873782517,3.560343683,3.62745063404959
E01016976,16.96674439,15.97833356,15.84381611,17.04862458,15.99003073,16.4637661,16.29415714,15.62741848,14.88464821,15.05425717,15.08934868,0.005848585,0.005848585,0.005848585,14.97237699,14.09508927,12.95461524,13.1987896330579
E01017007,22.30170297,21.00250001,20.8256854,22.40932925,21.01787519,21.6405701,21.41762995,20.54124452,19.56492039,19.78786055,19.8339861,0.007687592,0.007687592,0.007687592,19.68023427,18.52709554,17.0280152,17.3489668495868
E01016964,15.65821935,14.74603767,14.6218946,15.7337847,14.75683272,15.19403222,15.03750401,14.42218618,13.73670054,13.89322876,13.9256139,0.005397525,0.005397525,0.005397525,13.81766341,13.00803469,11.95551736,12.1808603063361
E01016849,10.29316487,9.69352859,9.611921284,10.34283889,9.700624877,9.988024517,9.885128349,9.480639968,9.030025718,9.132921885,9.154210747,0.003548144,0.003548144,0.003548144,9.083247873,8.551026318,7.859138296,8.0072708522314
E01016918,22.34420413,21.04252522,20.86537366,22.45203552,21.05792971,21.68181131,21.45844629,20.5803907,19.60220596,19.82557098,19.87178444,0.007702242,0.007702242,0.007702242,19.71773959,18.56240329,17.06046609,17.3820293906336
E01016956,11.01128818,10.36981707,10.28251627,11.0644278,10.37740844,10.6848591,10.57478417,10.14207584,9.660023587,9.770098512,9.792872634,0.003795687,0.003795687,0.003795687,9.716958893,9.147605833,8.407446855,8.56591417564738
E01016867,17.97273056,16.92571524,16.78322202,18.05946556,16.93810595,17.43992986,17.26026451,16.55399382,15.76718348,15.94684883,15.98402098,0.006195357,0.006195357,0.006195357,15.86011384,14.93081029,13.72271568,13.9813675724518
E01016882,22.91346433,21.57862274,21.3969579,23.02404293,21.59441968,22.23419583,22.00514017,21.10471448,20.10160866,20.33066432,20.37805515,0.007898471,0.007898471,0.007898471,20.22008573,19.03531508,17.49511324,17.8248689630854
E01016924,25.68973014,24.19315503,23.98947913,25.81370678,24.21086598,24.92815938,24.67135063,23.66182659,22.53718139,22.79399014,22.84712298,0.008855474,0.008855474,0.008855474,22.6700135,21.3416924,19.61487496,19.9845849035813
E01016856,6.319803239,5.951638211,5.901532911,6.350302117,5.955995193,6.132452988,6.069276741,5.820928733,5.544260339,5.607436587,5.620507534,0.002178491,0.002178491,0.002178491,5.576937708,5.250164015,4.825358213,4.91630872330579
E01017010,25.3609825,23.88355884,23.68248935,25.48337263,23.90104315,24.60915745,24.35563504,23.35902973,22.24877645,22.50229885,22.55475176,0.008742152,0.008742152,0.008742152,22.37990872,21.06858595,19.36386634,19.7288451526171
E01017000,18.92586294,17.82332215,17.67327222,19.01719768,17.83636997,18.36480668,18.17561329,17.43188755,16.60335098,16.79254437,16.83168783,0.00652391,0.00652391,0.00652391,16.70120963,15.72262313,14.45046067,14.7228294258953
E01016913,5.982101222,5.633609286,5.586181389,6.010970376,5.63773345,5.80476213,5.744961738,5.509884338,5.247999865,5.307800257,5.320172751,0.002062082,0.002062082,0.002062082,5.278931102,4.969618733,4.567512653,4.6536031753168
E01016864,14.65730044,13.80342806,13.68722058,14.72803543,13.81353306,14.2227855,14.07626302,13.5002781,12.85861069,13.00513317,13.03544817,0.005052499,0.005052499,0.005052499,12.93439818,12.17652329,11.19128593,11.4022242909091
E01016953,11.29041479,10.63268294,10.54316914,11.34490145,10.64046675,10.95571101,10.84284578,10.39916867,9.904896807,10.01776204,10.04111346,0.003891904,0.003891904,0.003891904,9.963275374,9.379489708,8.620568341,8.78305267129477
E01016968,5.642564705,5.313852731,5.269116782,5.669795282,5.317742814,5.475291156,5.418884959,5.197150255,4.950130015,5.006536212,5.018206459,0.001945041,0.001945041,0.001945041,4.979305634,4.687549444,4.308266398,4.38947053134986
E01016876,17.28675577,16.27970243,16.14264784,17.3701803,16.29162022,16.77429076,16.60148279,15.9221687,15.16538898,15.33819695,15.37395032,0.005958895,0.005958895,0.005958895,15.25477241,14.36093809,13.19895347,13.4477332539945
E01016877,19.35407077,18.2265844,18.07313951,19.447472,18.23992743,18.78032031,18.58684631,17.82629338,16.97901072,17.17248471,17.21251381,0.006671517,0.006671517,0.006671517,17.07908347,16.07835593,14.77741012,15.0559413509642
E01016853,14.34969432,13.51374177,13.39997308,14.41894483,13.5236347,13.92429835,13.78085087,13.21695389,12.58875286,12.73220034,12.76187913,0.004946465,0.004946465,0.004946465,12.66294983,11.92098012,10.95641948,11.1629309796143
E01016851,5.672660601,5.342195368,5.29722081,5.700036419,5.346106199,5.504494861,5.447787809,5.224870433,4.976532654,5.033239706,5.0449722,0.001955416,0.001955416,0.001955416,5.005863888,4.712551551,4.331245512,4.41288276628099
E01016862,10.2842105,9.685095856,9.603559544,10.3338413,9.69218597,9.979335591,9.876528936,9.472392433,9.022170188,9.124976842,9.146247184,0.003545057,0.003545057,0.003545057,9.075346043,8.543587486,7.852301362,8.00030505168044
E01016999,13.6030915,12.81063288,12.70278348,13.66873896,12.82001108,13.19982853,13.06384451,12.52928662,11.93377038,12.0697544,12.09788903,0.004689104,0.004689104,0.004689104,12.00410694,11.3007413,10.38636597,10.5821328396694
E01016942,15.99247049,15.06081675,14.93402363,16.06964891,15.07184224,15.5183745,15.35850493,14.7300521,14.02993361,14.18980319,14.22287965,0.005512744,0.005512744,0.005512744,14.11262477,13.28571316,12.21072807,12.4408813399449
E01016938,14.97547732,14.1030693,13.98433922,15.04774781,14.11339366,14.53153005,14.38182689,13.79333864,13.13774208,13.28744524,13.3184183,0.005162178,0.005162178,0.005162178,13.21517475,12.4408481,11.43422346,11.6497408264463
E01016854,6.648768997,6.261439814,6.208726375,6.680855438,6.266023591,6.451666572,6.385201801,6.123926494,5.832856635,5.899321406,5.913072738,0.002291889,0.002291889,0.002291889,5.867234965,5.523451666,5.076533378,5.17221815096419
E01016868,30.60910428,28.82594722,28.58326904,30.75682143,28.84704967,29.70169891,29.39571338,28.19287371,26.85286811,27.15885364,27.22216099,0.010551225,0.010551225,0.010551225,27.01113649,25.42845271,23.3709638,23.811470184022
E01016993,13.01474239,12.2565585,12.15337371,13.07755052,12.26553109,12.628921,12.49881844,11.98738079,11.4176213,11.54772386,11.57464163,0.004486295,0.004486295,0.004486295,11.48491572,10.81197144,9.937143879,10.1244436099174
E01016971,6.298661721,5.931728308,5.881790625,6.329058572,5.936070715,6.111938209,6.048973304,5.80145609,5.52571323,5.588678135,5.601705357,0.002171204,0.002171204,0.002171204,5.558281284,5.23260074,4.809216033,4.89986228892562
E01016888,19.62262661,18.47949531,18.32392123,19.71732388,18.49302349,19.04091483,18.8447562,18.07364988,17.21461039,17.41076901,17.45135355,0.006764091,0.006764091,0.006764091,17.31607174,16.30145816,14.98246051,15.264856630303
E01016960,15.98901961,15.0575669,14.93080115,16.06618137,15.06859001,15.51502592,15.35519084,14.72687363,14.02690621,14.18674129,14.21981062,0.005511555,0.005511555,0.005511555,14.10957953,13.28284635,12.20809322,12.438196830854
E01017008,12.57596381,11.8433413,11.74363528,12.63665443,11.85201139,12.20314999,12.0774337,11.58323864,11.032688,11.15840429,11.18441455,0.004335044,0.004335044,0.004335044,11.09771366,10.447457,9.602123347,9.78310846060606
E01016910,16.28055148,15.33211535,15.20303825,16.35912015,15.34333945,15.79791534,15.63516595,14.99539247,14.28266236,14.44541175,14.47908404,0.005612048,0.005612048,0.005612048,14.36684308,13.52503587,12.43068649,12.6649856352617
E01016889,12.31614422,11.59865771,11.50101161,12.37558097,11.60714867,11.95103274,11.82791375,11.34392877,10.80475251,10.9278715,10.95334439,0.004245482,0.004245482,0.004245482,10.86843475,10.2316124,9.403743345,9.58098931129477
E01016879,20.34258442,19.15751142,18.9962293,20.44075615,19.17153595,19.73952952,19.5361738,18.73677545,17.84621763,18.04957335,18.09164695,0.007012266,0.007012266,0.007012266,17.95140163,16.89956169,15.53216977,15.8249270567493
