orig,dest,mins,flow
E01033328,114579,52,0.9070228433126177
E01016955,114579,68,0.4688874835272501
E01016894,114579,48,2.1214773505188025
E01016990,114579,79,0.7307083193587413
E01016879,114579,92,0.5898049732680494
E01016889,114579,53,1.7918150022364294
E01016972,114579,36,2.385473917245856
E01016921,114579,136,0.5045464879527916
E01016999,114579,48,1.5580389387452251
E01016859,114579,77,0.7003845593136033
E01016985,114579,70,0.4299477866356646
E01016881,114579,101,0.9639862902401574
E01016868,114579,85,3.7586435934864535
E01016977,114579,120,0.5953117089638166
E01016964,114579,41,2.371654404161061
E01016984,114579,56,1.2663727178879796
E01016919,114579,117,0.37772727861616107
E01016875,114579,57,1.667332730632685
E01016998,114579,42,3.0747832251655733
E01016877,114579,64,1.6737006983381992
E01016967,114579,53,0.7093915626557131
E01016852,114579,70,0.4726159690548136
E01016856,114579,70,0.3716032194806463
E01016909,114579,65,2.1902859897943716
E01016869,114579,88,2.557008629953113
E01017012,114579,139,1.0211523390312407
E01016957,114579,114,1.4006438855694427
E01016905,114579,29,5.6195704869595415
E01016861,114579,83,0.6577113773063552
E01016870,114579,57,0.7567806316952044
E01016882,114579,97,0.3286391535838366
E01016865,114579,103,3.57236256459694
E01016884,114579,82,0.4593045410929295
E01016898,114579,66,2.078904852351278
E01016883,114579,104,0.3007975188752757
E01016915,114579,88,1.4263538241346632
E01016873,114579,71,0.3339132269524666
E01016953,114579,60,1.1424332363434813
E01016935,114579,46,1.53552205253517
E01016901,114579,21,12.85972177621952
E01016994,114579,116,1.1267618554955845
E01016968,114579,57,0.5636842296872256
E01016920,114579,139,0.685844448045413
E01016914,114579,89,0.3330746742166111
E01016913,114579,66,0.7413135032465475
E01016954,114579,65,0.6005613828571829
E01016922,114579,134,0.3790195814931042
E01016886,114579,90,0.5163032944576116
E01016917,114579,136,0.21547544232352858
E01017002,114579,33,3.6346997819793123
E01016876,114579,56,1.4950220697903625
E01016893,114579,55,3.7739689791350255
E01016988,114579,84,0.7123594184747178
E01017010,114579,124,1.6743127422417634
E01016902,114579,23,8.54778815589543
E01016866,114579,95,2.9516419577622086
E01016862,114579,76,1.2758120212135657
E01017007,114579,118,1.6869930846128438
E01016996,114579,89,1.2810768011001117
